200 3734
21 85 2881
21 101 2776
21 182 2448
21 80 9885
21 87 2682
21 102 6644
21 131 3749
22 92 5593
22 64 4258
22 11 8426
22 24 595
22 15 3572
22 42 3784
22 41 1375
22 114 9961
22 144 9363
22 146 3621
22 71 3244
22 143 8604
22 131 6076
22 192 4607
22 108 9657
22 168 4357
22 177 8714
22 132 1561
23 143 7544
23 161 6864
23 45 8075
23 165 209
23 21 5184
23 118 5080
23 40 8337
23 27 9055
23 112 3202
23 135 4561
23 167 2134
23 188 4237
23 166 8078
23 195 3180
23 48 4486
23 137 7592
23 99 6486
23 5 9433
23 71 3317
23 96 2432
23 125 923
23 19 8561
24 141 6863
24 197 9338
24 66 5880
24 59 6942
24 70 4671
24 55 4107
24 103 8084
24 61 7907
24 48 7960
24 151 785
24 177 394
24 102 8732
24 199 2839
24 73 3510
24 8 8435
24 187 9328
24 22 595
24 150 5670
24 164 7313
24 157 9541
24 15 8041
25 115 9234
25 197 3876
25 185 3574
25 72 2333
25 104 4900
25 137 5379
25 8 3950
25 5 3497
25 77 2730
25 136 9252
25 143 109
25 83 9570
25 15 7020
25 48 3215
25 155 3243
25 153 2478
25 129 3006
25 132 220
25 11 5058
25 37 1592
25 68 4189
26 14 3842
26 8 8343
26 1 4123
26 147 5760
26 113 5554
26 157 8
26 65 9435
26 116 4222
26 66 2748
26 138 7028
26 145 6698
26 130 5707
26 60 702
26 127 9897
26 136 7201
26 17 1276
26 120 5789
26 175 6166
26 70 9253
26 95 37
26 106 6941
26 2 2329
26 96 426
26 51 9330
26 183 4843
26 196 6755
27 23 9055
27 78 3067
27 8 3484
27 1 7906
27 152 2125
27 108 9930
27 63 3897
27 151 5916
27 111 3102
27 34 8913
27 182 6235
27 133 7750
27 16 8674
27 192 5345
27 114 715
27 168 1579
27 175 211
27 138 5919
27 7 4889
27 122 85
28 8 9997
28 188 3817
28 116 2639
28 132 5605
28 20 2235
28 178 3643
28 76 3706
28 122 9166
28 184 4165
28 198 367
28 161 9218
28 160 9060
28 56 5376
28 120 8875
28 11 2276
28 111 4496
28 193 9442
28 157 6881
28 48 2804
29 78 8191
29 144 6453
29 114 9479
29 156 5084
29 62 9693
29 121 4538
29 184 9798
29 109 6874
29 153 5447
29 67 3450
29 172 5831
29 111 1006
29 100 1643
29 148 3253
29 13 2785
30 78 5470
30 119 7373
30 144 1617
30 130 1357
30 59 4459
30 40 9819
30 79 504
30 43 6234
30 148 4761
30 42 264
30 1 4613
30 57 5669
30 185 3847
30 101 6980
30 94 6977
30 106 7820
30 2 2456
30 71 9295
31 4 400
31 8 3988
31 50 2599
31 75 7689
31 47 7841
31 99 8584
31 190 5056
31 112 5232
31 114 7618
31 118 6950
31 180 3599
31 21 2557
31 199 5565
31 14 1946
31 3 3032
31 35 9856
31 10 1185
31 146 2838
31 51 3740
31 83 6589
31 46 5965
32 136 3824
32 77 1690
32 92 3396
32 121 1616
32 85 7495
32 173 9632
32 177 6903
32 88 8130
32 36 7330
32 116 6066
32 61 3333
32 68 7353
32 119 1915
32 82 8572
32 70 9910
33 144 4842
33 173 5950
33 170 3649
33 113 653
33 110 1987
33 82 3578
33 61 1838
33 97 5672
33 55 1253
33 19 6939
33 48 915
33 74 3643
33 125 68
33 89 3090
33 176 3259
33 20 6388
33 138 6961
33 153 6575
33 171 3914
34 86 6436
34 156 8642
34 72 2541
34 181 5268
34 27 8913
34 58 8825
34 179 8529
34 62 9865
34 70 2349
34 57 5472
34 53 237
34 168 3924
34 101 3384
34 142 7792
34 55 7175
34 2 316
34 147 9759
34 15 7962
34 199 8197
34 12 6691
35 57 3694
35 8 3161
35 144 3088
35 114 491
35 65 8911
35 178 5775
35 172 993
35 16 840
35 118 8641
35 41 6750
35 31 9856
35 39 854
35 64 6072
35 166 2817
35 184 7438
35 49 3099
35 182 7370
35 110 4986
35 93 8776
36 80 2033
36 130 7590
36 123 6227
36 16 1556
36 150 117
36 88 7760
36 100 8613
36 9 5285
36 198 6281
36 49 954
36 143 5112
36 42 4918
36 134 980
36 159 6044
36 32 7330
36 67 2381
36 148 9551
36 48 7267
37 197 9189
37 119 9314
37 187 4106
37 191 3574
37 109 2136
37 75 752
37 200 7542
37 139 8209
37 155 610
37 142 6434
37 25 1592
37 132 822
37 156 7715
37 107 1145
37 99 7758
38 91 7088
38 88 503
38 132 6093
38 126 5442
38 147 8392
38 12 6700
38 130 5228
38 146 4401
38 108 8713
38 100 1370
38 134 4731
38 87 2976
38 99 6170
38 183 5214
38 109 4946
39 200 4320
39 98 3994
39 130 2415
39 40 2490
39 196 9268
39 133 8146
39 82 3529
39 44 9176
39 42 5465
39 127 6104
39 93 6133
39 180 9507
39 192 7455
39 119 1377
39 115 984
39 81 7401
39 35 854
40 23 8337
40 1 9048
40 120 7761
40 101 2886
40 21 2200
40 144 7773
40 96 5740
40 136 4659
40 184 4307
40 189 4264
40 30 9819
40 39 2490
40 108 8884
40 8 3194
40 80 9658
40 181 2339
40 162 3057
40 71 2827
40 68 5801
41 200 2623
41 78 64
41 66 4655
41 198 7216
41 59 285
41 75 7334
41 22 1375
41 181 5236
41 16 2748
41 154 902
41 150 7279
41 3 7213
41 103 7918
41 163 5257
41 20 4204
41 91 7777
41 35 6750
41 147 1859
41 165 3742
41 107 8117
42 160 2383
42 156 6540
42 6 7266
42 15 1790
42 61 8097
42 164 348
42 194 6499
42 172 5384
42 104 2727
42 124 3497
42 161 4793
42 159 5952
42 117 7075
42 2 1690
42 186 9392
42 62 3250
42 79 9405
42 39 5465
42 187 3076
42 22 3784
42 30 264
42 16 2597
42 137 4573
42 163 1279
42 60 6664
42 70 9397
42 36 4918
42 73 9155
43 200 8944
43 159 9622
43 97 3907
43 20 8106
43 164 6850
43 13 5401
43 3 7314
43 133 8489
43 108 8965
43 30 6234
43 79 5053
43 131 8232
43 167 8121
43 14 3200
43 130 2686
43 138 7966
43 177 9545
43 143 1172
43 65 5806
43 118 8009
43 140 4483
43 93 8480
44 197 4901
44 144 2277
44 198 2620
44 39 9176
44 87 7876
44 191 8131
44 166 6954
44 170 6941
44 163 19
44 79 9989
44 145 2889
44 173 5519
44 57 9980
44 82 3135
44 54 4114
44 3 2166
45 57 4631
45 23 8075
45 112 9497
45 130 4995
45 86 8208
45 17 5115
45 120 5280
45 169 663
45 162 3437
45 170 8061
45 118 5919
45 124 3291
45 110 8318
45 13 1795
45 167 1164
46 57 2414
46 152 9551
46 86 7513
46 123 133
46 138 2861
46 195 8207
46 176 9924
46 119 2688
46 54 9329
46 196 9633
46 73 5110
46 31 5965
46 173 2970
46 193 200
46 80 7969
46 194 2430
47 57 9585
47 114 9481
47 145 9484
47 190 5893
47 182 8383
47 31 7841
47 129 9534
47 142 5298
47 58 1230
47 146 2960
47 6 275
47 14 7899
47 189 5940
47 11 8728
47 76 2139
47 70 2237
48 152 5836
48 23 4486
48 33 915
48 24 7960
48 25 3215
48 135 8870
48 53 3579
48 162 202
48 28 2804
48 141 7942
48 36 7267
48 85 2793
48 86 3589
48 124 2594
48 130 7922
49 160 8649
49 154 2963
49 109 7521
49 36 954
49 178 9748
49 192 3114
49 112 2936
49 35 3099
49 71 3442
49 4 620
49 96 9902
49 171 9737
49 163 4689
49 1 2438
49 133 5168
49 117 2897
49 105 9279
50 152 5768
50 112 6455
50 185 3969
50 77 5221
50 20 9508
50 165 2668
50 98 991
50 187 2486
50 198 3799
50 13 759
50 128 2988
50 189 7032
50 52 9932
50 127 3623
50 31 2599
50 179 2503
50 191 5027
50 153 4906
51 80 7590
51 72 4883
51 137 1097
51 138 8756
51 109 663
51 67 4226
51 181 159
51 132 6108
51 189 8900
51 159 3018
51 5 23
51 10 5579
51 31 3740
51 120 5676
51 26 9330
51 176 1626
52 4 9268
52 115 4974
52 159 7817
52 185 8926
52 188 7806
52 97 9064
52 50 9932
52 137 9847
52 91 425
52 150 635
52 56 2417
52 107 3648
52 68 7602
52 168 1135
52 179 3505
53 14 9198
53 114 7353
53 156 4663
53 62 154
53 85 1228
53 177 9853
53 34 237
53 7 180
53 12 7002
53 48 3579
53 71 9286
53 86 7354
53 150 663
53 183 5305
53 125 8055
53 54 8362
54 197 2224
54 66 2907
54 136 1795
54 188 4884
54 17 3116
54 109 7833
54 44 4114
54 182 439
54 15 8984
54 200 4900
54 112 2280
54 169 2297
54 4 314
54 53 8362
54 138 6262
54 46 9329
55 33 1253
55 188 5182
55 101 6051
55 24 4107
55 169 7796
55 149 3089
55 34 7175
55 193 8584
55 1 6400
55 145 3343
55 105 8478
55 166 3687
55 121 45
55 16 6681
55 82 3548
56 101 3517
56 20 7195
56 179 5285
56 127 3032
56 5 8263
56 161 9812
56 16 9829
56 15 2335
56 52 2417
56 7 6617
56 77 7924
56 182 7268
56 88 3376
56 61 1316
56 117 1935
56 28 5376
56 124 553
56 100 362
57 18 4217
57 94 559
57 186 8816
57 3 1240
57 85 6679
57 45 4631
57 46 2414
57 35 3694
57 84 6564
57 185 9773
57 67 8013
57 47 9585
57 155 894
57 64 811
57 10 9989
57 80 8723
57 160 2059
57 59 2690
57 79 2331
57 30 5669
57 184 7593
57 44 9980
57 162 6484
57 116 657
57 34 5472
57 106 4869
57 131 6343
57 183 9094
57 13 6851
57 12 9417
58 152 5878
58 98 3678
58 8 4709
58 130 7021
58 59 5736
58 121 8819
58 47 1230
58 102 6907
58 150 4858
58 90 7142
58 86 5990
58 175 3676
58 79 2366
58 34 8825
58 186 8994
58 125 1051
58 74 7935
58 147 2268
58 193 6167
59 86 1294
59 147 2652
59 149 2406
59 141 9127
59 112 4586
59 58 5736
59 74 4471
59 24 6942
59 199 8959
59 57 2690
59 13 9802
59 162 392
59 30 4459
59 180 2436
59 41 285
59 72 7155
59 101 1805
59 87 4629
59 168 4171
59 99 672
59 70 8056
59 11 3204
59 12 762
60 200 3270
60 98 2074
60 26 702
60 185 6671
60 120 2232
60 14 2465
60 127 1403
60 12 5934
60 42 6664
60 189 4416
60 107 53
60 146 2318
60 112 2571
60 154 6668
60 177 5346
60 172 2782
61 1 9147
61 159 50
61 33 1838
61 42 8097
61 20 2581
61 24 7907
61 87 9054
61 163 449
61 190 9776
61 155 5302
61 173 4804
61 115 3325
61 196 5578
61 171 6889
61 32 3333
61 56 1316
61 131 6925
61 195 8929
62 97 9164
62 53 154
62 120 3852
62 18 1927
62 154 3239
62 12 5677
62 88 9008
62 152 7405
62 29 9693
62 161 4145
62 10 4817
62 105 2737
62 42 3250
62 107 5325
62 115 1914
62 121 4146
62 116 7420
62 34 9865
62 193 6611
62 103 8384
63 141 5608
63 77 5874
63 27 3897
63 169 5161
63 95 5265
63 69 2324
63 125 1316
63 158 5710
63 102 5807
63 9 1754
63 103 9315
63 71 3008
63 131 5258
63 92 9007
63 96 5639
63 7 9921
64 57 811
64 98 3910
64 97 2202
64 22 4258
64 120 2386
64 177 7661
64 83 2717
64 81 9745
64 111 2664
64 145 2686
64 130 2494
64 148 6420
64 106 257
64 141 159
64 86 415
64 87 9404
64 121 772
64 102 4636
64 5 7837
64 67 2091
64 35 6072
64 131 4632
64 182 4702
64 110 6712
65 152 3596
65 66 6931
65 26 9435
65 97 6171
65 123 9600
65 175 7921
65 155 5534
65 102 1653
65 77 4070
65 198 3576
65 81 3055
65 199 12
65 95 6606
65 35 8911
65 43 5806
65 71 440
65 134 9957
65 74 6618
65 165 3706
65 140 5377
66 80 2903
66 68 8313
66 142 778
66 156 2966
66 41 4655
66 6 6628
66 84 7711
66 102 3329
66 65 6931
66 54 2907
66 24 5880
66 112 2272
66 93 5874
66 94 3425
66 20 2668
66 26 2748
66 130 5827
66 17 6177
66 69 825
66 89 3013
67 57 8013
67 102 5418
67 175 5049
67 153 6205
67 12 372
67 137 1415
67 133 3803
67 64 2091
67 98 981
67 200 476
67 171 1395
67 36 2381
67 29 3450
67 124 1881
67 51 4226
67 195 5738
67 100 6217
67 103 1469
68 141 3541
68 197 8224
68 78 7925
68 66 8313
68 144 2278
68 174 7083
68 16 5895
68 163 4921
68 146 3896
68 52 7602
68 140 9625
68 40 5801
68 25 4189
68 32 7353
68 186 2529
69 8 8816
69 198 6285
69 17 3611
69 156 9960
69 75 3355
69 168 2358
69 102 1173
69 190 8023
69 139 9031
69 161 6172
69 96 4816
69 189 5216
69 66 825
69 94 1428
69 63 2324
70 4 5286
70 24 4671
70 148 7232
70 26 9253
70 17 3900
70 59 8056
70 47 2237
70 42 9397
70 175 3257
70 149 2367
70 92 97
70 153 6533
70 178 3395
70 168 1296
70 156 4831
70 34 2349
70 9 3
70 124 9090
70 32 9910
70 183 5333
71 8 5830
71 22 3244
71 138 1230
71 81 1712
71 170 1540
71 49 3442
71 23 3317
71 134 7486
71 12 6735
71 30 9295
71 21 4987
71 142 6039
71 65 440
71 7 8207
71 40 2827
71 145 6128
71 53 9286
71 63 3008
71 186 7144
71 171 6703
72 4 6509
72 78 5840
72 119 6216
72 114 8351
72 9 795
72 8 7309
72 113 8783
72 102 3378
72 34 2541
72 25 2333
72 59 7155
72 172 3154
72 89 4837
72 178 5129
72 51 4883
72 120 2288
72 174 2020
72 153 542
72 96 860
72 146 4265
72 171 8574
72 157 605
72 12 3627
73 14 4107
73 8 4529
73 159 4970
73 97 6535
73 77 2439
73 24 3510
73 174 2582
73 150 8062
73 139 4429
73 149 5234
73 42 9155
73 90 5134
73 78 213
73 194 8522
73 172 2240
73 46 5110
74 159 8961
74 33 3643
74 59 4471
74 20 6184
74 99 7032
74 179 1224
74 93 5577
74 164 8628
74 58 7935
74 65 6618
74 110 6732
74 108 8252
74 165 2603
74 121 1469
74 182 1874
74 176 8130
75 115 9141
75 141 9238
75 80 2188
75 86 260
75 20 2485
75 92 6096
75 97 1884
75 41 7334
75 87 3245
75 69 3355
75 120 6893
75 131 5903
75 31 7689
75 108 5944
75 4 7045
75 16 4117
75 191 1404
75 81 2610
75 37 752
76 115 7292
76 185 3675
76 181 3276
76 47 2139
76 143 1080
76 28 3706
76 125 1866
76 178 8434
76 3 7730
76 114 9691
76 100 1794
76 200 4624
76 199 6879
76 138 5684
76 141 1970
76 126 9596
76 9 9341
76 83 4425
76 89 6943
77 112 3501
77 160 106
77 189 5703
77 191 5136
77 124 8897
77 198 5082
77 19 7014
77 73 2439
77 63 5874
77 129 2338
77 11 816
77 133 2482
77 192 562
77 32 1690
77 50 5221
77 87 7041
77 25 2730
77 65 4070
77 106 9162
77 153 4484
77 56 7924
77 172 4772
77 13 8639
78 10 3772
78 68 7925
78 12 5754
78 30 5470
78 158 6368
78 122 6208
78 27 3067
78 116 2733
78 41 64
78 72 5840
78 161 6311
78 4 8059
78 104 1378
78 83 3956
78 29 8191
78 98 6604
78 154 8424
78 137 1911
78 135 6920
78 73 213
78 145 7245
79 141 7919
79 101 3206
79 165 3769
79 96 3060
79 119 4118
79 152 6520
79 57 2331
79 42 9405
79 166 8727
79 161 8396
79 30 504
79 89 5170
79 134 5793
79 117 9044
79 129 7315
79 43 5053
79 109 9678
79 58 2366
79 44 9989
79 167 821
79 193 7738
79 194 5785
80 36 2033
80 84 4646
80 1 983
80 115 1418
80 151 6729
80 112 5209
80 51 7590
80 152 9607
80 113 918
80 18 5253
80 121 2258
80 75 2188
80 57 8723
80 133 7218
80 179 7730
80 119 109
80 66 2903
80 40 9658
80 97 7214
80 172 7716
80 89 7225
80 19 63
80 46 7969
80 21 9885
81 115 2609
81 197 5541
81 97 8867
81 101 4494
81 64 9745
81 11 7300
81 71 1712
81 109 2520
81 136 1410
81 39 7401
81 75 2610
81 142 425
81 141 4033
81 183 3062
81 184 4486
81 95 7628
81 5 2470
81 143 9811
81 65 3055
81 89 6125
82 33 3578
82 130 3350
82 156 4692
82 39 3529
82 173 592
82 177 7883
82 44 3135
82 116 8492
82 132 4163
82 135 520
82 131 3458
82 128 6835
82 32 8572
82 55 3548
82 14 3284
83 78 3956
83 6 4950
83 185 9307
83 17 4616
83 64 2717
83 25 9570
83 149 6824
83 5 8408
83 167 8201
83 117 8517
83 165 1556
83 151 163
83 31 6589
83 76 4425
83 11 4212
84 57 6564
84 80 4646
84 119 6418
84 66 7711
84 198 6000
84 136 4271
84 86 196
84 104 5331
84 154 5422
84 137 4368
84 95 3813
84 159 8764
84 170 2437
84 107 2955
84 85 9889
84 134 9313
84 7 4062
85 57 6679
85 160 3614
85 156 6670
85 168 6194
85 136 6222
85 180 5526
85 32 7495
85 118 1103
85 192 545
85 129 518
85 93 2350
85 87 7479
85 189 1148
85 53 1228
85 20 1436
85 167 8111
85 133 837
85 84 9889
85 132 3874
85 128 4645
85 110 6061
85 21 2881
85 48 2793
86 115 4292
86 197 9715
86 144 8809
86 59 1294
86 126 938
86 189 1116
86 18 7518
86 45 8208
86 46 7513
86 177 7011
86 180 4605
86 75 260
86 157 4448
86 84 196
86 34 6436
86 120 5231
86 64 415
86 184 802
86 58 5990
86 142 1664
86 53 7354
86 117 4221
86 48 3589
87 160 8713
87 119 519
87 75 3245
87 94 9648
87 59 4629
87 61 9054
87 44 7876
87 168 9717
87 64 9404
87 164 3630
87 20 2640
87 8 2834
87 77 7041
87 7 4977
87 159 20
87 85 7479
87 191 6922
87 88 8012
87 167 1023
87 158 4082
87 110 1220
87 21 2682
87 38 2976
88 6 2040
88 62 9008
88 20 3015
88 113 7323
88 136 9027
88 32 8130
88 38 503
88 151 2296
88 150 6771
88 183 5548
88 36 7760
88 87 8012
88 94 4630
88 115 6612
88 19 2003
88 161 1727
88 56 3376
88 10 2540
88 125 5013
88 89 6268
89 33 3090
89 72 4837
89 123 1724
89 79 5170
89 174 859
89 76 6943
89 4 6364
89 199 2447
89 105 2737
89 66 3013
89 180 6613
89 80 7225
89 163 4056
89 88 6268
89 81 6125
90 152 4428
90 4 9447
90 115 1118
90 119 929
90 185 7285
90 20 7373
90 16 4559
90 108 9077
90 179 3150
90 139 7847
90 58 7142
90 5 8920
90 73 5134
90 144 6224
90 174 6915
91 160 384
91 181 5061
91 174 3419
91 113 4627
91 95 1807
91 3 2484
91 192 6626
91 52 425
91 115 1106
91 137 4130
91 142 9165
91 41 7777
91 158 5554
91 38 7088
91 200 1989
92 1 648
92 130 4321
92 108 1845
92 134 611
92 194 427
92 177 3183
92 75 6096
92 20 1705
92 94 6086
92 128 557
92 22 5593
92 16 2897
92 186 7981
92 32 3396
92 139 6764
92 121 3820
92 138 8081
92 70 97
92 63 9007
93 66 5874
93 39 6133
93 181 4072
93 154 4074
93 85 2350
93 106 7478
93 74 5577
93 150 9214
93 98 6618
93 147 7808
93 43 8480
93 152 6544
93 35 8776
93 167 5671
93 2 8178
94 57 559
94 66 3425
94 92 6086
94 120 2734
94 87 9648
94 30 6977
94 191 8319
94 139 7117
94 109 1300
94 88 4630
94 170 9319
94 69 1428
94 14 3552
94 115 3351
94 171 9960
94 15 9607
95 119 8127
95 112 556
95 120 1105
95 18 6123
95 91 1807
95 173 4093
95 196 232
95 26 37
95 147 1279
95 19 8692
95 125 2918
95 9 9481
95 63 5265
95 81 7628
95 84 3813
95 65 6606
95 105 6027
96 40 5740
96 79 3060
96 104 9640
96 113 713
96 162 3738
96 155 1252
96 10 808
96 49 9902
96 151 5644
96 23 2432
96 72 860
96 26 426
96 69 4816
96 143 9275
96 183 5940
96 63 5639
96 147 6737
96 193 8832
97 33 5672
97 185 7066
97 52 9064
97 64 2202
97 188 4696
97 192 6412
97 43 3907
97 73 6535
97 13 7027
97 112 7970
97 81 8867
97 80 7214
97 62 9164
97 65 6171
97 140 6528
97 75 1884
97 137 4668
98 115 5826
98 131 4615
98 64 3910
98 155 5516
98 139 1236
98 39 3994
98 102 8331
98 60 2074
98 200 2691
98 166 2365
98 78 6604
98 162 6140
98 58 3678
98 117 9546
98 6 5595
98 144 7199
98 50 991
98 150 2094
98 143 4301
98 67 981
98 93 6618
99 104 9141
99 18 5718
99 174 5676
99 157 6819
99 132 6235
99 182 2898
99 151 4991
99 183 3578
99 59 672
99 133 2091
99 23 6486
99 153 4561
99 31 8584
99 74 7032
99 1 2368
99 127 1409
99 37 7758
99 193 4567
99 194 5833
99 38 6170
100 159 6568
100 137 7179
100 163 9710
100 190 6675
100 36 8613
100 142 2995
100 76 1794
100 67 6217
100 29 1643
100 56 362
100 144 6606
100 128 2585
100 153 9523
100 145 5513
100 15 810
100 38 1370
101 188 8532
101 40 2886
101 157 1394
101 171 4084
101 55 6051
101 144 3620
101 3 3382
101 113 5025
101 81 4494
101 163 6034
101 56 3517
101 129 8822
101 184 9592
101 59 1805
101 79 3206
101 30 6980
101 138 2903
101 143 4043
101 34 3384
101 21 2776
102 98 8331
102 66 3329
102 144 7885
102 72 3378
102 24 8732
102 181 3586
102 137 6815
102 172 6573
102 58 6907
102 64 4636
102 117 2690
102 177 4463
102 67 5418
102 183 9635
102 69 1173
102 65 1653
102 178 1335
102 161 8231
102 63 5807
102 140 6371
102 21 6644
103 200 6852
103 123 8757
103 24 8084
103 41 7918
103 191 9684
103 63 9315
103 112 7410
103 110 492
103 131 2921
103 196 697
103 186 9655
103 62 8384
103 113 5249
103 67 1469
103 114 1319
104 141 8163
104 78 1378
104 42 2727
104 123 9214
104 1 6648
104 126 8616
104 200 7084
104 197 4175
104 84 5331
104 192 4220
104 142 6237
104 99 9141
104 96 9640
104 25 4900
104 172 562
104 179 8828
104 169 3713
105 185 1034
105 62 2737
105 113 3389
105 116 7900
105 89 2737
105 164 4662
105 183 7723
105 55 8478
105 190 2519
105 180 342
105 95 6027
105 119 9931
105 120 9334
105 13 6822
105 49 9279
106 14 7913
106 4 4770
106 115 9599
106 141 675
106 112 4855
106 20 8786
106 64 257
106 181 5333
106 190 3306
106 3 6522
106 30 7820
106 93 7478
106 26 6941
106 77 9162
106 57 4869
106 111 6461
107 114 2033
107 123 4582
107 62 5325
107 187 2611
107 60 53
107 116 9865
107 84 2955
107 182 8314
107 37 1145
107 169 669
107 52 3648
107 4 4384
107 41 8117
107 146 7863
107 112 7449
107 15 4590
107 176 6807
108 200 9977
108 185 8700
108 17 1943
108 40 8884
108 156 7040
108 92 1845
108 75 5944
108 22 9657
108 43 8965
108 27 9930
108 174 5670
108 90 9077
108 145 522
108 143 973
108 113 4343
108 74 8252
108 126 526
108 38 8713
109 152 2744
109 136 8659
109 81 2520
109 169 383
109 51 663
109 49 7521
109 129 2465
109 79 9678
109 54 7833
109 37 2136
